The capture of Hill WW II opened the right flank guard of the Japanese Imperial Garrison to bombardment and constant attack by Igorot freedom fighters . ||| Ang pagkabihag ng Hill WWII ang nagbukas sa kanan flank guard ng Japanese Imperial Garrison sa panganganyon at palagian atake ng mga Igorot freedom fighter .
The mountains running parallel with the coastal plains are not very high and do vary much in size . ||| Hindi napakatataas ng mga bundok na tumatakbo nang kahilera ng mga baybaying kapatagan at hindi gaanong nag-iiba-iba sa sukat .
Street dancing depicts the joys felt by the believers when Christ resurrected . ||| Nilalarawan ng street dancing ang saya na nararamdaman ng mga naniniwala sa pagkabuhay ni kristo .
Street dancing and field presentations by all the clustered barangays of the municipality . ||| Mga street dancing at field presentation sa pamamagitan ng lahat ng tinipong mga barangay ng munisipalidad .
Bataan Birdwatching ||| Panonood sa mga Ibon sa Bataan
Mt . Sto . Tomas ||| Mt . Sto . Tomas
Isabela City is in the northern part of the Basilan island mainland and is approximately 17 nautical miles from Zamboanga City . ||| Nasa hilagang bahagi ng bayan ng Isla ng Basilan ang Lungsod ng Isabela at higit-kumulang 17 nautical miles mula sa Lungsod ng Zamboanga .
Encouraged by the success of Christianizing the people of Cebu , Magellan crossed the channel to Mactan Island in an effort to spread the faith . ||| Nahikayat dahil sa tagumpay ng Kristiyanisasyon ng mga tao sa Cebu , tinawid ni Magellan ang canal patungong Isla ng Mactan upang palaganapin ang pananampalataya .
Bataan Technology Park , Morong , Bataan ||| Bataan Technology Park , Morong , Bataan
Today , her monument stands at the town plaza of Pidigan to remind every one of the gallant stand and the ideals she and her husband fought and died for . ||| Nagyon , nakatayo ang kanyang monumento sa plasa ng bayan ng Pidigan upang paalalahanan ang bawat isa sa magiting na paninidigan at ang mga uliran na ipinaglaban at ikinamatay niya at ng kanyang asawa .
Its ocean floor drops abruptly . ||| Biglang lumalalim ang ilalim ng karagatan nito .
Climate : The climate is generally dry as defined by the Hernandez type of climate . ||| Klima : Pangkalahatang tuyo ang klima gaya ng natukoy ng Hernandez type ng klima .
Beside it is a ruin of an old building and a museum . ||| Katabi nito ang isang guho ng isang lumang gusali at isang museo .
During the Lenten season , the Buhing Kalbaryo Foundation Inc. will have Lenten presentations . ||| Sa panahon ng pangkuwaresma , ang Buhing Kalbaryo Foundation Inc. ay magkakaroon pangkuwaresma mga presentasyon .
