On April 9, 1942, Maj. Gen. Edward King, Jr., commander of the U.S. military forces in Luzon officially surrendered to Col. Motoo Nakayama at the compound of Balanga Elementary School under a mango tree. ||| Noong ika-9 ng Abril 1942, opisyal na sumuko si Maj. Gen. Edward King, Jr., komandante ng pwersang militar ng Estados Unidos sa Luzon kay Kol. Motoo Nakayama sa lupain ng Paaralang Elementarya ng Balanga sa ilalim ng puno ng mangga.
Proclaimed by the President of the Revolutionary Government, Emilio Aguinaldo, the church became the seat of the short-lived  Philippine Republic and site of the first constitutional convention which convened with much fanfare from September 15, 1898  to the last week of February 1899  under the presidency of Pedro A. Paterno. ||| Ipinroklama ng Pangulo ng Rebousyunaryong Pamahalaan, si Emilio Aguinaldo, ang simbahan ang naging sentro ng panandaliang Republika ng Pilipinas  at pinagganapan ng unang konbensyong konstitusyunal noong ika-15 ng Setyembre 1898  hanggang huling linggo ng Pebrero 1899  sa ilalim ng  Pangulong Pedro A. Paterno.
Festival of Gold is a celebration of thanksgiving, a unified government, sustained good harvests, abundant resources and a promise of a golden future. ||| Festival of Gold ay isang pagdiriwang ng araw ng pasasalamat , isang pinag- isang gobyerno , matagal magandang ani , masaganang mga mapagkukunan at isang pangako ng isang gintong hinaharap .
The Samas are a grouping of tribes that generally inhabit the shorelines of northern and southern Sulu, Tawi-Tawi, Basilan, as well as the Zamboanga Peninsula and nearby islands. ||| Isang grupo ng mga tribo ang Sama na karaniwang nakatira sa baybayin ng hilaga at timog Sulu, Tawi-tawi, Basilan, pati na rin ng Zamboanga Peninsula at karatig isla.
Mornang Hotspring ||| Mornang Hotspring
Hamorawon Spring ||| Bukal ng Hamorawon
The mean temperature in the province is 27oC. ||| 27oC  ang mean temperature sa probinsya.
An Annual festival to promote the major industry of the city, tobacco and is celebrated during the cityhood anniversary. ||| Isang taunang pagdiriwang upang i-promote ang mga pangunahing industriya ng lungsod ,  tabako  at ay bantog sa panahon ng anibersaryo cityhood .
The cave is active, flood prone and provides excellent wet sport caving. ||| Ang kweba ay aktibo, bahain at nagbibigay ng magandang basang kweba para sa sport caving.
The church is home to the  four-century-old image of Nuestra Señora del Santissimo Rosario or Our Lady of the Most Holy Rosary. ||| Ang simbahan ay tahanan  apat na siglo ng imahe ni Nuestra Señora del Santissimo Rosario o Our Lady of the Most Holy Rosary.
