It is ideally located in a valley where one can have the sights of the mountains and panoramic view of the city . ||| Ideyal itong makikita sa lambak kung saan maaaring matunghayan ang mga bundok at tanawin ng lungsod .
Having one of the world ’ s longest coastlines , the Philippines offers an array of limitless attractions found all over her more than 7,100 islands . ||| May isa sa pinakamahabang baybay-dagat sa mundo , nag-aalok ang Pilipinas ng isang ayos ng walang hanggang atraksyon na matatagpuan sa kanyang mahigit sa 7,100 isla .
This shrine contains the image of the famous `` Apung Iru '' ( St. Peter ) , a life-size ivory statue from Spain , which the pilgrims venerate all year-round . ||| Ang dambanang ito ay nagtataglay ng imahe ng kilalang `` Apung Iru '' ( San Pedro ) , isang malaking garing istatwa mula sa Espanya kung saan ang mga pilgrimahe ay sinasamba buong taon .
In many places around the lake , the forests hug the coastlines , contributing to the pristine character of the site . ||| Sa maraming lugar sa buong lawa , ang gubat niyayakap ang tabing dagat , na nag-aambag sa malinis na uri ng ? ? lugar .
There are a total of 6 concrete bridges within the city ’ s boundary . ||| Mayroong isang kabuuan ng 6 na kongkretong ng tulay sa loob ng hangganan ng lungsod .
They stop over in Batanes for a day or two before they continue their flight in search for warmer climate . ||| Tumitigil sila sa Batanes ng isang araw o dalawa bago sila magpatuloy sa kanilang paglalakbay sa paghahanap ng mas mainit na klima .
Located 6 kilometers northwest of Catarman . ||| Matatagpuan 6 na kilometro sa hilagang-kanluran ng Catarman .
St. Nicholas of Tolentino Parish Church ||| Parokyang Simbahan ng San Nikolas ng Tolentino
MEDINA SPRINGS – Approximately 300 yards from the white beach , at the edge of the shallow coral reef are two excellent dive spots . ||| MEDINA SPRINGS – Halos 300 yarda mula sa putting dalampasigan , sa dulo ng mababaw na coral reef ang dalawang napakahusay na mga dive spot .
SOIL CLASSIFICATION ||| KLASIPIKASYON NG LUPA
Baro at Saya is the national costume for Filipino females ||| Ang Barot Saya ang pambansang damit para sa mga kababaihang Pilipino .
For this reason , every 29th of August , a program commemorating the heroes is held in Manggahan . ||| Dahil dito , tuwing ika-29 ng Agosto , isang programa ng paggugunita sa mga bayani ang isinasagawa sa Manggahan .
